"The Rule has been deleted.","The Rule has been deleted."
"We can\'t delete the rule right now. Please review the log and try again.","We can\'t delete the rule right now. Please review the log and try again."
"Please correct the rules you requested.","Please correct the rules you requested."
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We can\'t delete these rules right now. Please review the log and try again.","We can\'t delete these rules right now. Please review the log and try again."
"A total of %1 record(s) have been modified.","A total of %1 record(s) have been modified."
"We can\'t change status these rules right now. Please review the log and try again.","We can\'t change status these rules right now. Please review the log and try again."
"New Rule","New Rule"
"The Rule has been saved.","The Rule has been saved."
"We can\'t save the rule right now. Please review the log and try again.","We can\'t save the rule right now. Please review the log and try again."
"Add Selected Rules","Add Selected Rules"
"A shipping method will appear in the list of available methods if at least one rule for it is triggered. Do not add rules here if you need all methods for this region to be determined by the system configuration.","A shipping method will appear in the list of available methods if at least one rule for it is triggered. Do not add rules here if you need all methods for this region to be determined by the system configuration."
"Shipping Method Rules","Shipping Method Rules"
"Add Shipping Method Rules","Add Shipping Method Rules"
"Shipping Methods","Shipping Methods"
"Methods Access","Methods Access"
"Methods","Methods"
"Scheduled Operations","Scheduled Operations"
